DCC0006 L03AC01 DCC0008 L01XC03 0.0 0.0 1
DCC0008 L01XC03 DCC0016 L01XX32 0.0 0.0 1
DCC0018 N02AX02 DCC0049 N02BE01 0.1052 0.0 1
DCC0018 N02AX02 DCC0049 N02BE01 0.1052 0.0 1
DCC0037 N03AX11 DCC0048 N03AG01 0.1111 0.0 1
DCC0048 N03AG01 DCC0059 N05AH03 0.2 0.0 1
DCC0008 L01XC03 DCC0050 L01XE02 0.0 0.0769 1
DCC0018 N02AX02 DCC0049 N02BE01 0.1052 0.0 1
DCC0014 C09CA03 DCC0073 C08CA01 0.1 0.0 1
DCC0008 L01XC03 DCC0067 L01CA04 0.0 0.0 1
DCC0008 L01XC03 DCC0067 L01CA04 0.0 0.0 1
DCC0015 C09AA05 DCC0073 C08CA01 0.0 0.0 1
DCC0015 C09AA05 DCC0073 C08CA01 0.0 0.0 1
DCC0008 L01XC03 DCC0067 L01CA04 0.0 0.0 1
DCC0008 L01XC03 DCC0067 L01CA04 0.0 0.0 1
DCC0008 L01XC03 DCC0067 L01CA04 0.0 0.0 1
DCC0008 L01XC03 DCC0067 L01CA04 0.0 0.0 1
DCC0014 C09CA03 DCC0073 C08CA01 0.1 0.0 1
DCC0014 C09CA03 DCC0073 C08CA01 0.1 0.0 1
DCC0008 L01XC03 DCC0067 L01CA04 0.0 0.0 1
DCC0014 C09CA03 DCC0073 C08CA01 0.1 0.0 1
DCC0006 L03AC01 DCC0079 L01XE05 0.0666 0.0 1
DCC0067 L01CA04 DCC0079 L01XE05 0.1818 0.0 1
DCC0027 A10BB12 DCC0082 A10BG02 0.1428 0.0 1
DCC0027 A10BB12 DCC0082 A10BG02 0.1428 0.0 1
DCC0016 L01XX32 DCC0079 L01XE05 0.4615 0.0 1
DCC0016 L01XX32 DCC0079 L01XE05 0.4615 0.0 1
DCC0027 A10BB12 DCC0082 A10BG02 0.1428 0.0 1
DCC0067 L01CA04 DCC0094 L01BC05 0.0 0.0 1
DCC0066 P01BC02 DCC0093 J01EA01 0.1428 0.0 1
DCC0067 L01CA04 DCC0094 L01BC05 0.0 0.0 1
DCC0016 L01XX32 DCC0094 L01BC05 0.0 0.0 1
DCC0067 L01CA04 DCC0094 L01BC05 0.0 0.0 1
DCC0016 L01XX32 DCC0094 L01BC05 0.0 0.0 1
DCC0067 L01CA04 DCC0094 L01BC05 0.0 0.0 1
DCC0079 L01XE05 DCC0094 L01BC05 0.0 0.0 1
DCC0059 N05AH03 DCC0100 N06AB03 0.4444 0.0 1
DCC0069 N05AH02 DCC0100 N06AB03 0.2666 0.0 1
DCC0053 N06AA09 DCC0101 N05BA02 0.1111 0.0 1
DCC0008 L01XC03 DCC0094 L01BC05 0.0 0.0 1
DCC0008 L01XC03 DCC0096 L01DB03 0.0 0.0 1
DCC0045 J05AF07 DCC0114 J05AE03 0.0769 0.0 1
DCC0045 J05AF07 DCC0114 J05AE03 0.0769 0.0 1
DCC0030 J05AG01 DCC0111 J05AF01 0.1818 0.5 1
DCC0030 J05AG01 DCC0111 J05AF01 0.1818 0.5 1
DCC0097 A02BC03 DCC0112 N02AA05 0.0833 0.0 1
DCC0049 N02BE01 DCC0112 N02AA05 0.05 0.0 1
DCC0045 J05AF07 DCC0114 J05AE03 0.0769 0.0 1
DCC0028 J05AE02 DCC0114 J05AE03 0.5 1.0 1
DCC0049 N02BE01 DCC0112 N02AA05 0.05 0.0 1
DCC0028 J05AE02 DCC0111 J05AF01 0.2 0.0 1
DCC0049 N02BE01 DCC0112 N02AA05 0.05 0.0 1
DCC0094 L01BC05 DCC0122 L01XE03 0.0 0.0 1
DCC0094 L01BC05 DCC0117 L01XA01 0.0 0.25 1
DCC0094 L01BC05 DCC0117 L01XA01 0.0 0.25 1
DCC0046 L01DC03 DCC0117 L01XA01 0.0 1.0 1
DCC0094 L01BC05 DCC0117 L01XA01 0.0 0.25 1
DCC0094 L01BC05 DCC0117 L01XA01 0.0 0.25 1
DCC0094 L01BC05 DCC0117 L01XA01 0.0 0.25 1
DCC0094 L01BC05 DCC0117 L01XA01 0.0 0.25 1
DCC0079 L01XE05 DCC0120 L01XA03 0.0454 0.0 1
DCC0079 L01XE05 DCC0122 L01XE03 0.3846 0.0 1
DCC0094 L01BC05 DCC0120 L01XA03 0.0 0.25 1
DCC0094 L01BC05 DCC0117 L01XA01 0.0 0.25 1
DCC0094 L01BC05 DCC0117 L01XA01 0.0 0.25 1
DCC0094 L01BC05 DCC0120 L01XA03 0.0 0.25 1
DCC0094 L01BC05 DCC0117 L01XA01 0.0 0.25 1
DCC0014 C09CA03 DCC0121 C08CA13 0.0 0.0 1
DCC0067 L01CA04 DCC0120 L01XA03 0.0 0.0 1
DCC0016 L01XX32 DCC0117 L01XA01 0.0454 0.0 1
DCC0016 L01XX32 DCC0120 L01XA03 0.1111 0.0 1
DCC0067 L01CA04 DCC0117 L01XA01 0.0 0.0 1
DCC0096 L01DB03 DCC0117 L01XA01 0.0 0.3333 1
DCC0050 L01XE02 DCC0122 L01XE03 0.3 0.5 1
DCC0079 L01XE05 DCC0117 L01XA01 0.0833 0.0 1
DCC0067 L01CA04 DCC0117 L01XA01 0.0 0.0 1
DCC0094 L01BC05 DCC0120 L01XA03 0.0 0.25 1
DCC0050 L01XE02 DCC0117 L01XA01 0.05 0.0 1
DCC0008 L01XC03 DCC0120 L01XA03 0.0 0.0 1
DCC0094 L01BC05 DCC0117 L01XA01 0.0 0.25 1
DCC0050 L01XE02 DCC0122 L01XE03 0.3 0.5 1
DCC0094 L01BC05 DCC0122 L01XE03 0.0 0.0 1
DCC0094 L01BC05 DCC0120 L01XA03 0.0 0.25 1
DCC0094 L01BC05 DCC0117 L01XA01 0.0 0.25 1
DCC0094 L01BC05 DCC0117 L01XA01 0.0 0.25 1
DCC0094 L01BC05 DCC0117 L01XA01 0.0 0.25 1
DCC0042 G03AC08 DCC0071 N05BC01 0.0 0.0 0
DCC0076 C08CA06 DCC0092 C10AA06 0.25 0.0 0
DCC0071 N05BC01 DCC0107 J01MA03 0.0 0.0 0
DCC0054 C02DD01 DCC0125 L02BA02 1.0 0.0 0
DCC0089 N05AB04 DCC0125 L02BA02 0.0 0.0 0
DCC0090 C03AA01 DCC0121 C08CA13 0.0 0.0 0
DCC0113 A02BA01 DCC0121 C08CA13 0.2727 0.0 0
